query,gold_tool,requires_tool
Define 'homologous structures' in biology.,,False
Explain the process of cellular respiration using a diagram.,ChartTool,True
What is the Fibonacci sequence?,,False
"I'm currently in the process of researching and organizing a trip to Machu Picchu, aiming to visit this stunning archaeological wonder located in the Andes Mountains of Peru.",MapTool,True
Who composed 'The Four Seasons'?,,False
Who composed the Ninth Symphony?,,False
"I need assistance from experts in the field to thoroughly explore and analyze the vast literature available on various renewable energy sources, including solar, wind, hydroelectric, geothermal, and biomass energy.",ResearchHelper,True
Who is known as the father of geometry?,,False
Who is the author of 'Invisible Man'?,,False
I need information on the latest research in artificial intelligence.,PDF&URLTool,True
Define 'gerrymandering'.,,False
What is the largest organ in the human body?,,False
Name the official language of China.,,False
Who composed 'The Magic Flute'?,,False
Display to me the precise and exact measure of the cryptocurrency Bitcoin's volatility throughout the entirety of the previous year.,FinanceTool,True
Define 'sovereignty'.,,False
Compare the transaction volume of Bitcoin and Ethereum for the past year.,FinanceTool,True
I'm looking for a restaurant in Japan that I can make a reservation at. Can you assist?,RestaurantBookingTool,True
I'm struggling to come up with SEO-friendly content ideas for my website. Can you give me some keyword suggestions to get started?,SEOTool,True
Name the three branches of the U.S. government.,,False
I need to boost my online presence and reach more customers. Can you suggest some strategies for writing effective social media content?,SEOTool,True
Find me the latest news on artificial intelligence advancements in healthcare.,ResearchHelper,True
Can I find information about a specific game?,GameTool,True
"Please provide the overall sentiment for EUR/USD using ten-minute candles for the past six hours, taking into account factors such as price movement, trading volume, and any relevant news or events impacting the currency pair.",ExchangeTool,True
What is the longest river in the world?,,False
Who wrote 'The Brothers Karamazov'?,,False
Who wrote 'Heart of Darkness'?,,False
"Can you recommend a highly experienced and qualified language tutor, preferably with a master's degree in Spanish, who specializes in exam preparation for advanced levels of Spanish proficiency and has a track record of helping students achieve outstanding results in language examinations such as DELE or SIELE?",CourseTool,True
Who is the author of 'A Tale of Two Cities'?,,False
Can you provide me with research papers on the effects of COVID-19 on mental health?,ResearchFinder,True
Who wrote 'Brave New World'?,,False
What is the capital of Switzerland?,,False
I want to redecorate my living room. Can you show me some modern furniture options available on Uniket?,ShoppingAssistant,True
Define 'taxonomy' in biology.,,False
What is the capital of Spain?,,False
What is the meaning of 'austere'?,,False
Who wrote 'Crime and Punishment'?,,False
What is the smallest country in Africa?,,False
Define 'photosynthesis' in one sentence.,,False
Can you help me sort through the options for DSLR cameras? I've narrowed it down to the Nikon D750 and Canon 5D Mark IV.,ProductComparison,True
Can you direct me to the contact page on this website? I'd like to get in touch with the company for further information.,PDF&URLTool,True
Can you please assist me in finding the cheapest digital camera on haffprice.com? I need help in comparing prices and features of different models to ensure I make the most cost-effective choice.,ProductSearch,True
What is the tallest mountain on Earth?,,False
I want to watch a good action-adventure movie. Any suggestions?,MediaTool,True
Who painted 'Las Meninas'?,,False
Hi there! Can you help me plan my journey from New York City to Los Angeles?,MapTool,True
Name the largest land carnivore.,,False
"I am looking for a domain name for my new blog. Can you see if ""adventureblogger.com"" is available?",URLTool,True
Could you please provide me with the latest news headlines specific to the United States for today?,NewsTool,True
What is the longest war in recorded history known as?,,False
"I'm interested in learning German to effectively communicate with my German colleagues, understand technical documents written in German, and enhance my overall engineering skills required for my job.",CourseTool,True
"Can you provide assistance by thoroughly evaluating my website and identifying any specific technical SEO issues, which could potentially hinder its optimal performance and ranking on search engines?",SEOTool,True
The user specifically requests a condo in Los Angeles with a minimum of 2 bathrooms.,HouseRentingTool,True
"I want to learn about famous landmarks around the world, can you generate flashcards for me?",MemoryTool,True
Name the largest waterfall by volume.,,False
Name the chemical element with symbol Fe.,,False
Who is the author of '1984'?,,False
I need a funny and relatable meme to show my overwhelming excitement about finally reaching the weekend after a long and tiring work week.,MemeTool,True
